request_id,tenant_id,endpoint_id,timestamp,base_tokens,weight_multiplier,surge_multiplier,effective_tokens,hourly_request_count,daily_request_count,daily_token_count,effective_hourly_limit,within_limit,throttle_reason,billable
R00000471,T011,EP004,2025-01-02 04:54:28,364,2.5,1.0,910,7,64,250504,82,NO,TOKEN_EXCEEDED,YES
R00000116,T004,EP001,2025-01-02 05:00:50,817,0.5,1.0,408,1,1,408,10,YES,,YES
R00000591,T011,EP004,2025-01-02 05:02:48,967,2.5,1.0,2418,1,65,252922,82,NO,TOKEN_EXCEEDED,YES
R00000489,T011,EP002,2025-01-02 05:06:07,825,1.2,1.0,990,2,66,253912,82,NO,TOKEN_EXCEEDED,YES
R00000532,T011,EP010,2025-01-02 05:06:25,5000,2.5,1.0,12500,3,67,266412,82,NO,TOKEN_EXCEEDED,YES
R00000408,T011,EP001,2025-01-02 05:13:15,932,1.0,1.0,932,4,68,267344,82,NO,TOKEN_EXCEEDED,YES
R00000378,T011,EP003,2025-01-02 05:14:12,942,1.0,1.0,942,5,69,268286,82,NO,TOKEN_EXCEEDED,YES
R00000600,T011,EP001,2025-01-02 05:16:35,1377,1.0,1.0,1377,6,70,269663,82,NO,TOKEN_EXCEEDED,YES
R00000507,T011,EP010,2025-01-02 05:27:04,5000,2.5,1.0,12500,7,71,282163,82,NO,TOKEN_EXCEEDED,YES
R00000675,T011,EP003,2025-01-02 05:27:25,319,1.0,1.0,319,8,72,282482,82,NO,TOKEN_EXCEEDED,YES
R00000558,T011,EP001,2025-01-02 05:29:20,1579,1.0,1.0,1579,9,73,284061,82,NO,TOKEN_EXCEEDED,YES
R00000195,T019,EP010,2025-01-02 05:37:06,394,1.5,1.0,591,1,2,843,650,YES,,YES
R00000436,T011,EP001,2025-01-02 05:39:13,831,1.0,1.0,831,10,74,284892,82,NO,TOKEN_EXCEEDED,YES
R00000453,T011,EP002,2025-01-02 05:45:52,1452,1.2,1.0,1742,11,75,286634,82,NO,TOKEN_EXCEEDED,YES
R00000658,T011,EP004,2025-01-02 05:46:32,1310,2.5,1.0,3275,12,76,289909,82,NO,TOKEN_EXCEEDED,YES
R00000615,T011,EP004,2025-01-02 05:48:42,967,2.5,1.0,2418,13,77,292327,82,NO,TOKEN_EXCEEDED,YES
R00000585,T011,EP001,2025-01-02 05:49:33,287,1.0,1.0,287,14,78,292614,82,NO,TOKEN_EXCEEDED,YES
R00000533,T011,EP001,2025-01-02 05:51:29,1162,1.0,1.0,1162,15,79,293776,82,NO,TOKEN_EXCEEDED,YES
R00000455,T011,EP003,2025-01-02 05:51:33,947,1.0,1.0,947,16,80,294723,82,NO,TOKEN_EXCEEDED,YES
R00000451,T011,EP002,2025-01-02 05:53:57,238,1.2,1.0,286,17,81,295009,82,NO,TOKEN_EXCEEDED,YES
R00000496,T011,EP002,2025-01-02 05:55:49,1347,1.2,1.0,1616,18,82,296625,82,NO,TOKEN_EXCEEDED,YES
R00000563,T011,EP004,2025-01-02 06:01:48,1817,2.5,1.4,6360,1,83,302985,82,NO,TOKEN_EXCEEDED,YES
R00000447,T011,EP010,2025-01-02 06:03:22,5000,2.5,1.4,17500,2,84,320485,82,NO,TOKEN_EXCEEDED,YES
R00000510,T011,EP004,2025-01-02 06:04:41,1860,2.5,1.4,6510,3,85,326995,82,NO,TOKEN_EXCEEDED,YES
R00000626,T011,EP003,2025-01-02 06:08:14,1190,1.0,1.0,1190,4,86,328185,82,NO,TOKEN_EXCEEDED,YES
R00000190,T018,EP008,2025-01-02 06:15:59,100,0.8,1.0,80,1,3,415,240,YES,,NO
R00000414,T011,EP004,2025-01-02 06:20:46,384,2.5,1.4,1344,5,87,329529,82,NO,TOKEN_EXCEEDED,YES
R00000625,T011,EP002,2025-01-02 06:24:40,226,1.2,1.0,271,6,88,329800,82,NO,TOKEN_EXCEEDED,YES
R00000194,T019,EP006,2025-01-02 06:24:45,1035,1.0,1.0,1035,1,3,1878,650,YES,,YES
R00000117,T004,EP008,2025-01-02 06:26:22,767,1.0,1.0,767,1,2,1175,10,YES,,NO
R00000110,T002,EP005,2025-01-02 06:32:45,897,2.0,1.0,1794,1,6,6174,10,NO,TOKEN_EXCEEDED,YES
R00000387,T011,EP010,2025-01-02 06:34:01,5000,2.5,1.4,17500,7,89,347300,82,NO,TOKEN_EXCEEDED,YES
R00000373,T011,EP001,2025-01-02 06:35:01,1604,1.0,1.0,1604,8,90,348904,82,NO,TOKEN_EXCEEDED,YES
R00000131,T007,EP001,2025-01-02 06:37:00,939,0.7,1.0,657,1,1,657,36,YES,,YES
R00000540,T011,EP002,2025-01-02 06:40:19,383,1.2,1.0,460,9,91,349364,82,NO,TOKEN_EXCEEDED,YES
R00000481,T011,EP001,2025-01-02 06:41:19,1345,1.0,1.0,1345,10,92,350709,82,NO,TOKEN_EXCEEDED,YES
R00000522,T011,EP010,2025-01-02 06:43:18,5000,2.5,1.4,17500,11,93,368209,82,NO,TOKEN_EXCEEDED,YES
R00000133,T007,EP010,2025-01-02 06:46:12,838,3.0,1.4,3520,2,2,4177,36,YES,,NO
R00000439,T011,EP004,2025-01-02 06:47:55,1658,2.5,1.4,5803,12,94,374012,82,NO,TOKEN_EXCEEDED,YES
R00000659,T011,EP003,2025-01-02 06:48:32,663,1.0,1.0,663,13,95,374675,82,NO,TOKEN_EXCEEDED,YES
R00000651,T011,EP002,2025-01-02 06:50:52,1192,1.2,1.0,1430,14,96,376105,82,NO,TOKEN_EXCEEDED,YES
R00000485,T011,EP001,2025-01-02 06:52:49,1657,1.0,1.0,1657,15,97,377762,82,NO,TOKEN_EXCEEDED,YES
R00000134,T007,EP009,2025-01-02 06:56:36,996,0.1,1.0,100,3,3,4277,36,YES,,NO
R00000141,T009,EP010,2025-01-02 07:03:20,902,3.0,1.4,3788,1,1,3788,22,YES,,NO
R00000487,T011,EP010,2025-01-02 07:05:07,5000,2.5,1.4,17500,1,98,395262,82,NO,TOKEN_EXCEEDED,YES
R00000478,T011,EP001,2025-01-02 07:11:20,1556,1.0,1.0,1556,2,99,396818,82,NO,TOKEN_EXCEEDED,YES
R00000111,T003,EP006,2025-01-02 07:14:49,259,2.0,1.0,518,1,2,846,10,YES,,NO
R00000523,T011,EP002,2025-01-02 07:15:40,1838,1.2,1.0,2206,3,100,399024,82,NO,TOKEN_EXCEEDED,YES
R00000470,T011,EP001,2025-01-02 07:16:15,253,1.0,1.0,253,4,101,399277,82,NO,TOKEN_EXCEEDED,YES
R00000364,T011,EP002,2025-01-02 07:21:15,1200,1.2,1.0,1440,5,102,400717,82,NO,TOKEN_EXCEEDED,YES
R00000647,T011,EP010,2025-01-02 07:26:38,5000,2.5,1.4,17500,6,103,418217,82,NO,TOKEN_EXCEEDED,YES
R00000172,T015,EP002,2025-01-02 07:27:17,921,1.1,1.0,1013,1,2,1072,240,YES,,YES
R00000576,T011,EP002,2025-01-02 07:28:00,1824,1.2,1.0,2189,7,104,420406,82,NO,TOKEN_EXCEEDED,YES
R00000174,T015,EP009,2025-01-02 07:30:39,172,1.0,1.0,172,2,3,1244,240,YES,,NO
R00000196,T020,EP009,2025-01-02 07:32:17,889,1.0,1.0,889,1,2,1495,650,YES,,NO
R00000401,T011,EP001,2025-01-02 07:34:04,611,1.0,1.0,611,8,105,421017,82,NO,TOKEN_EXCEEDED,YES
R00000426,T011,EP001,2025-01-02 07:34:29,668,1.0,1.0,668,9,106,421685,82,NO,TOKEN_EXCEEDED,YES
R00000464,T011,EP004,2025-01-02 07:37:25,1688,2.5,1.4,5908,10,107,427593,82,NO,TOKEN_EXCEEDED,YES
R00000367,T011,EP010,2025-01-02 07:38:35,5000,2.5,1.4,17500,11,108,445093,82,NO,TOKEN_EXCEEDED,YES
R00000531,T011,EP004,2025-01-02 07:40:25,1628,2.5,1.4,5698,12,109,450791,82,NO,TOKEN_EXCEEDED,YES
R00000590,T011,EP004,2025-01-02 07:45:05,1467,2.5,1.4,5134,13,110,455925,82,NO,TOKEN_EXCEEDED,YES
R00000198,T020,EP007,2025-01-02 07:51:46,1001,1.0,1.0,1001,2,3,2496,650,YES,,YES
R00000369,T011,EP004,2025-01-02 07:51:53,881,2.5,1.4,3084,14,111,459009,82,NO,TOKEN_EXCEEDED,YES
R00000549,T011,EP001,2025-01-02 07:54:19,1753,1.0,1.0,1753,15,112,460762,82,NO,TOKEN_EXCEEDED,YES
R00000156,T012,EP009,2025-01-02 07:58:20,0,0.1,1.0,0,1,1,0,82,YES,,NO
R00000586,T011,EP001,2025-01-02 08:03:50,1773,1.0,1.0,1773,1,113,462535,82,NO,TOKEN_EXCEEDED,YES
R00000541,T011,EP001,2025-01-02 08:05:27,1112,1.0,1.0,1112,2,114,463647,82,NO,TOKEN_EXCEEDED,YES
R00000508,T011,EP001,2025-01-02 08:10:43,1602,1.0,1.0,1602,3,115,465249,82,NO,TOKEN_EXCEEDED,YES
R00000568,T011,EP002,2025-01-02 08:21:02,1949,1.2,1.0,2339,4,116,467588,82,NO,TOKEN_EXCEEDED,YES
R00000184,T017,EP005,2025-01-02 08:21:07,470,1.1,1.0,517,1,3,3876,240,YES,,YES
R00000609,T011,EP001,2025-01-02 08:21:38,1845,1.0,1.0,1845,5,117,469433,82,NO,TOKEN_EXCEEDED,YES
R00000155,T011,EP010,2025-01-02 08:22:23,1443,2.5,1.4,5050,6,118,474483,82,NO,TOKEN_EXCEEDED,YES
R00000629,T011,EP003,2025-01-02 08:24:30,1747,1.0,1.0,1747,7,119,476230,82,NO,TOKEN_EXCEEDED,YES
R00000200,T020,EP006,2025-01-02 08:24:58,449,1.0,1.0,449,1,4,2945,650,YES,,YES
R00000551,T011,EP003,2025-01-02 08:26:02,1141,1.0,1.0,1141,8,120,477371,82,NO,TOKEN_EXCEEDED,YES
R00000660,T011,EP001,2025-01-02 08:26:02,956,1.0,1.0,956,9,121,478327,82,NO,TOKEN_EXCEEDED,YES
R00000499,T011,EP004,2025-01-02 08:26:34,1274,2.5,1.4,4459,10,122,482786,82,NO,TOKEN_EXCEEDED,YES
R00000365,T011,EP003,2025-01-02 08:30:41,1450,1.0,1.0,1450,11,123,484236,82,NO,TOKEN_EXCEEDED,YES
R00000474,T011,EP002,2025-01-02 08:34:50,227,1.2,1.0,272,12,124,484508,82,NO,TOKEN_EXCEEDED,YES
R00000539,T011,EP004,2025-01-02 08:35:58,533,2.5,1.4,1865,13,125,486373,82,NO,TOKEN_EXCEEDED,YES
R00000157,T012,EP003,2025-01-02 08:36:04,1209,1.0,1.0,1209,1,2,1209,82,YES,,YES
R00000582,T011,EP010,2025-01-02 08:44:27,5000,2.5,1.4,17500,14,126,503873,82,NO,TOKEN_EXCEEDED,YES
R00000441,T011,EP004,2025-01-02 08:44:54,499,2.5,1.4,1746,15,127,505619,82,NO,TOKEN_EXCEEDED,YES
R00000433,T011,EP001,2025-01-02 08:46:22,617,1.0,1.0,617,16,128,506236,82,NO,TOKEN_EXCEEDED,YES
R00000635,T011,EP004,2025-01-02 08:47:05,1935,2.5,1.4,6772,17,129,513008,82,NO,TOKEN_EXCEEDED,YES
R00000454,T011,EP002,2025-01-02 08:52:10,1084,1.2,1.0,1301,18,130,514309,82,NO,TOKEN_EXCEEDED,YES
R00000458,T011,EP003,2025-01-02 08:54:28,716,1.0,1.0,716,19,131,515025,82,NO,TOKEN_EXCEEDED,YES
R00000683,T007,EP002,2025-01-02 09:03:00,797,1.5,1.0,1196,1,4,5473,36,YES,,YES
R00000702,T007,EP002,2025-01-02 09:03:08,643,1.5,1.0,964,2,5,6437,36,YES,,YES
R00000721,T007,EP002,2025-01-02 09:05:40,402,1.5,1.0,603,3,6,7040,36,YES,,YES
R00000623,T011,EP003,2025-01-02 09:06:00,428,1.0,1.0,428,1,132,515453,82,NO,TOKEN_EXCEEDED,YES
R00000691,T007,EP002,2025-01-02 09:07:17,751,1.5,1.0,1126,4,7,8166,36,YES,,YES
R00000714,T007,EP002,2025-01-02 09:07:25,624,1.5,1.0,936,5,8,9102,36,YES,,YES
R00000678,T007,EP002,2025-01-02 09:07:32,704,1.5,1.0,1056,6,9,10158,36,YES,,YES
R00000682,T007,EP002,2025-01-02 09:08:06,579,1.5,1.0,868,7,10,11026,36,YES,,YES
R00000708,T007,EP002,2025-01-02 09:09:41,383,1.5,1.0,574,8,11,11600,36,YES,,YES
R00000719,T007,EP002,2025-01-02 09:10:59,768,1.5,1.0,1152,9,12,12752,36,YES,,YES
R00000519,T011,EP004,2025-01-02 09:11:53,921,2.5,1.4,3224,2,133,518677,82,NO,TOKEN_EXCEEDED,YES
R00000138,T008,EP005,2025-01-02 09:13:56,1210,1.5,1.0,1815,1,1,1815,22,YES,,YES
R00000717,T007,EP002,2025-01-02 09:14:16,754,1.5,1.0,1131,10,13,13883,36,YES,,YES
R00000703,T007,EP002,2025-01-02 09:16:07,608,1.5,1.0,912,11,14,14795,36,YES,,YES
R00000695,T007,EP002,2025-01-02 09:17:22,635,1.5,1.0,952,12,15,15747,36,YES,,YES
R00000706,T007,EP002,2025-01-02 09:19:52,353,1.5,1.0,530,13,16,16277,36,YES,,YES
R00000725,T007,EP002,2025-01-02 09:21:09,736,1.5,1.0,1104,14,17,17381,36,YES,,YES
R00000716,T007,EP002,2025-01-02 09:21:42,406,1.5,1.0,609,15,18,17990,36,YES,,YES
R00000124,T005,EP001,2025-01-02 09:21:46,370,0.7,1.0,259,1,2,1552,22,YES,,YES
R00000724,T007,EP002,2025-01-02 09:23:25,329,1.5,1.0,494,16,19,18484,36,YES,,YES
R00000707,T007,EP002,2025-01-02 09:23:42,437,1.5,1.0,656,17,20,19140,36,YES,,YES
R00000135,T007,EP001,2025-01-02 09:26:03,200,0.7,1.0,140,18,21,19280,36,YES,,YES
R00000151,T011,EP002,2025-01-02 09:29:18,1281,1.2,1.0,1537,3,134,520214,82,NO,TOKEN_EXCEEDED,YES
R00000679,T007,EP002,2025-01-02 09:29:48,451,1.5,1.0,676,19,22,19956,36,YES,,YES
R00000696,T007,EP002,2025-01-02 09:30:09,380,1.5,1.0,570,20,23,20526,36,YES,,YES
R00000685,T007,EP002,2025-01-02 09:32:13,569,1.5,1.0,854,21,24,21380,36,YES,,YES
R00000693,T007,EP002,2025-01-02 09:32:58,645,1.5,1.0,968,22,25,22348,36,YES,,YES
R00000687,T007,EP002,2025-01-02 09:33:01,631,1.5,1.0,946,23,26,23294,36,YES,,YES
R00000680,T007,EP002,2025-01-02 09:34:15,368,1.5,1.0,552,24,27,23846,36,YES,,YES
R00000726,T007,EP002,2025-01-02 09:34:51,797,1.5,1.0,1196,25,28,25042,36,NO,TOKEN_EXCEEDED,YES
R00000713,T007,EP002,2025-01-02 09:35:40,684,1.5,1.0,1026,26,29,26068,36,NO,TOKEN_EXCEEDED,YES
R00000146,T010,EP009,2025-01-02 09:35:50,1088,0.1,1.0,109,1,1,109,82,YES,,NO
R00000720,T007,EP002,2025-01-02 09:37:18,351,1.5,1.0,526,27,30,26594,36,NO,TOKEN_EXCEEDED,YES
R00000490,T011,EP002,2025-01-02 09:38:22,916,1.2,1.0,1099,4,135,521313,82,NO,TOKEN_EXCEEDED,YES
R00000681,T007,EP002,2025-01-02 09:38:38,441,1.5,1.0,662,28,31,27256,36,NO,TOKEN_EXCEEDED,YES
R00000692,T007,EP002,2025-01-02 09:38:41,698,1.5,1.0,1047,29,32,28303,36,NO,TOKEN_EXCEEDED,YES
R00000711,T007,EP002,2025-01-02 09:38:50,509,1.5,1.0,764,30,33,29067,36,NO,TOKEN_EXCEEDED,YES
R00000500,T011,EP002,2025-01-02 09:40:13,1724,1.2,1.0,2069,5,136,523382,82,NO,TOKEN_EXCEEDED,YES
R00000722,T007,EP002,2025-01-02 09:40:26,329,1.5,1.0,494,31,34,29561,36,NO,TOKEN_EXCEEDED,YES
R00000723,T007,EP002,2025-01-02 09:41:37,404,1.5,1.0,606,32,35,30167,36,NO,TOKEN_EXCEEDED,YES
R00000697,T007,EP002,2025-01-02 09:41:54,645,1.5,1.0,968,33,36,31135,36,NO,TOKEN_EXCEEDED,YES
R00000686,T007,EP002,2025-01-02 09:42:13,512,1.5,1.0,768,34,37,31903,36,NO,TOKEN_EXCEEDED,YES
R00000690,T007,EP002,2025-01-02 09:42:51,501,1.5,1.0,752,35,38,32655,36,NO,TOKEN_EXCEEDED,YES
R00000684,T007,EP002,2025-01-02 09:46:01,734,1.5,1.0,1101,36,39,33756,36,NO,TOKEN_EXCEEDED,YES
R00000709,T007,EP002,2025-01-02 09:46:14,423,1.5,1.0,634,37,40,34390,36,NO,TOKEN_EXCEEDED,YES
R00000688,T007,EP002,2025-01-02 09:46:47,321,1.5,1.0,482,38,41,34872,36,NO,TOKEN_EXCEEDED,YES
R00000701,T007,EP002,2025-01-02 09:47:41,500,1.5,1.0,750,39,42,35622,36,NO,TOKEN_EXCEEDED,YES
R00000705,T007,EP002,2025-01-02 09:49:03,397,1.5,1.0,596,40,43,36218,36,NO,TOKEN_EXCEEDED,YES
R00000677,T007,EP002,2025-01-02 09:49:52,658,1.5,1.0,987,41,44,37205,36,NO,TOKEN_EXCEEDED,YES
R00000715,T007,EP002,2025-01-02 09:51:41,442,1.5,1.0,663,42,45,37868,36,NO,TOKEN_EXCEEDED,YES
R00000712,T007,EP002,2025-01-02 09:51:43,339,1.5,1.0,508,43,46,38376,36,NO,TOKEN_EXCEEDED,YES
R00000163,T013,EP004,2025-01-02 09:52:52,750,2.5,1.4,2625,1,2,6027,82,YES,,YES
R00000710,T007,EP002,2025-01-02 09:53:06,371,1.5,1.0,556,44,47,38932,36,NO,TOKEN_EXCEEDED,YES
R00000689,T007,EP002,2025-01-02 09:54:45,387,1.5,1.0,580,45,48,39512,36,NO,TOKEN_EXCEEDED,YES
R00000699,T007,EP002,2025-01-02 09:55:35,692,1.5,1.0,1038,46,49,40550,36,NO,TOKEN_EXCEEDED,YES
R00000700,T007,EP002,2025-01-02 09:55:50,624,1.5,1.0,936,47,50,41486,36,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000567,T011,EP010,2025-01-02 09:57:24,5000,2.5,1.4,17500,6,137,540882,82,NO,TOKEN_EXCEEDED,YES
R00000564,T011,EP001,2025-01-02 09:57:45,1824,1.0,1.0,1824,7,138,542706,82,NO,TOKEN_EXCEEDED,YES
R00000704,T007,EP002,2025-01-02 09:58:05,627,1.5,1.0,940,48,51,42426,36,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000698,T007,EP002,2025-01-02 09:58:17,690,1.5,1.0,1035,49,52,43461,36,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000694,T007,EP002,2025-01-02 09:58:47,493,1.5,1.0,740,50,53,44201,36,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000718,T007,EP002,2025-01-02 09:59:08,380,1.5,1.0,570,51,54,44771,36,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000440,T011,EP004,2025-01-02 10:12:10,921,2.5,1.4,3224,1,139,545930,82,NO,TOKEN_EXCEEDED,YES
R00000498,T011,EP001,2025-01-02 10:17:58,1759,1.0,1.0,1759,2,140,547689,82,NO,TOKEN_EXCEEDED,YES
R00000142,T009,EP005,2025-01-02 10:22:43,675,1.5,1.0,1012,1,2,4800,22,YES,,NO
R00000509,T011,EP001,2025-01-02 10:23:51,1833,1.0,1.0,1833,3,141,549522,82,NO,TOKEN_EXCEEDED,YES
R00000115,T003,EP010,2025-01-02 10:24:53,1176,1.0,1.4,1646,1,3,2492,10,YES,,YES
R00000618,T011,EP002,2025-01-02 10:26:26,1322,1.2,1.0,1586,4,142,551108,82,NO,TOKEN_EXCEEDED,YES
R00000424,T011,EP004,2025-01-02 10:27:31,314,2.5,1.4,1099,5,143,552207,82,NO,TOKEN_EXCEEDED,YES
R00000673,T011,EP004,2025-01-02 10:28:31,696,2.5,1.4,2436,6,144,554643,82,NO,TOKEN_EXCEEDED,YES
R00000617,T011,EP010,2025-01-02 10:31:09,5000,2.5,1.4,17500,7,145,572143,82,NO,TOKEN_EXCEEDED,YES
R00000460,T011,EP002,2025-01-02 10:32:36,794,1.2,1.0,953,8,146,573096,82,NO,TOKEN_EXCEEDED,YES
R00000631,T011,EP003,2025-01-02 10:32:48,202,1.0,1.0,202,9,147,573298,82,NO,TOKEN_EXCEEDED,YES
R00000375,T011,EP004,2025-01-02 10:34:39,867,2.5,1.4,3034,10,148,576332,82,NO,TOKEN_EXCEEDED,YES
R00000160,T012,EP007,2025-01-02 10:37:57,805,1.0,1.0,805,1,3,2014,82,YES,,YES
R00000148,T010,EP003,2025-01-02 10:43:02,1458,1.0,1.0,1458,1,2,1567,82,YES,,YES
R00000614,T011,EP004,2025-01-02 10:44:21,1556,2.5,1.4,5446,11,149,581778,82,NO,TOKEN_EXCEEDED,YES
R00000469,T011,EP001,2025-01-02 10:47:25,935,1.0,1.0,935,12,150,582713,82,NO,TOKEN_EXCEEDED,YES
R00000480,T011,EP004,2025-01-02 10:53:53,864,2.5,1.4,3024,13,151,585737,82,NO,TOKEN_EXCEEDED,YES
R00000562,T011,EP010,2025-01-02 10:54:12,5000,2.5,1.4,17500,14,152,603237,82,NO,TOKEN_EXCEEDED,YES
R00000139,T008,EP003,2025-01-02 10:55:12,716,0.7,1.0,501,1,2,2316,22,YES,,YES
R00000584,T011,EP001,2025-01-02 10:55:56,1807,1.0,1.0,1807,15,153,605044,82,NO,TOKEN_EXCEEDED,YES
R00000136,T008,EP010,2025-01-02 10:57:19,978,3.0,1.4,4108,2,3,6424,22,YES,,YES
R00000462,T011,EP010,2025-01-02 10:57:37,5000,2.5,1.4,17500,16,154,622544,82,NO,TOKEN_EXCEEDED,YES
R00000606,T011,EP003,2025-01-02 10:58:36,370,1.0,1.0,370,17,155,622914,82,NO,TOKEN_EXCEEDED,YES
R00000575,T011,EP001,2025-01-02 11:02:04,1308,1.0,1.0,1308,1,156,624222,82,NO,TOKEN_EXCEEDED,YES
R00000661,T011,EP001,2025-01-02 11:05:59,990,1.0,1.0,990,2,157,625212,82,NO,TOKEN_EXCEEDED,YES
R00000514,T011,EP004,2025-01-02 11:07:28,1876,2.5,1.4,6566,3,158,631778,82,NO,TOKEN_EXCEEDED,YES
R00000123,T005,EP010,2025-01-02 11:09:41,1386,3.0,1.4,5821,1,3,7373,22,YES,,YES
R00000418,T011,EP001,2025-01-02 11:16:38,1674,1.0,1.0,1674,4,159,633452,82,NO,TOKEN_EXCEEDED,YES
R00000175,T015,EP001,2025-01-02 11:17:16,200,1.0,1.0,200,1,4,1444,240,YES,,YES
R00000161,T013,EP008,2025-01-02 11:22:56,64,1.0,1.0,64,1,3,6091,82,YES,,NO
R00000639,T011,EP003,2025-01-02 11:23:09,1225,1.0,1.0,1225,5,160,634677,82,NO,TOKEN_EXCEEDED,YES
R00000130,T006,EP010,2025-01-02 11:38:31,1268,3.0,1.4,5326,1,1,5326,22,YES,,YES
R00000624,T011,EP002,2025-01-02 11:43:33,1255,1.2,1.0,1506,6,161,636183,82,NO,TOKEN_EXCEEDED,YES
R00000505,T011,EP004,2025-01-02 11:46:04,1720,2.5,1.4,6020,7,162,642203,82,NO,TOKEN_EXCEEDED,YES
R00000516,T011,EP001,2025-01-02 11:46:11,525,1.0,1.0,525,8,163,642728,82,NO,TOKEN_EXCEEDED,YES
R00000310,T015,EP004,2025-01-02 12:10:00,2885,2.0,1.4,8078,1,5,9522,240,YES,,YES
R00000442,T011,EP010,2025-01-02 12:15:42,5000,2.5,1.4,17500,1,164,660228,82,NO,TOKEN_EXCEEDED,YES
R00000313,T015,EP004,2025-01-02 12:22:00,3838,2.0,1.4,10746,2,6,20268,240,YES,,YES
R00000417,T011,EP010,2025-01-02 12:25:10,5000,2.5,1.4,17500,2,165,677728,82,NO,TOKEN_EXCEEDED,YES
R00000368,T011,EP001,2025-01-02 12:28:00,1285,1.0,1.0,1285,3,166,679013,82,NO,TOKEN_EXCEEDED,YES
R00000520,T011,EP003,2025-01-02 12:33:19,400,1.0,1.0,400,4,167,679413,82,NO,TOKEN_EXCEEDED,YES
R00000425,T011,EP003,2025-01-02 12:40:25,1186,1.0,1.0,1186,5,168,680599,82,NO,TOKEN_EXCEEDED,YES
R00000556,T011,EP002,2025-01-02 12:45:38,637,1.2,1.0,764,6,169,681363,82,NO,TOKEN_EXCEEDED,YES
R00000396,T011,EP004,2025-01-02 12:48:05,1520,2.5,1.4,5320,7,170,686683,82,NO,TOKEN_EXCEEDED,YES
R00000449,T011,EP003,2025-01-02 12:51:07,1847,1.0,1.0,1847,8,171,688530,82,NO,TOKEN_EXCEEDED,YES
R00000601,T011,EP003,2025-01-02 12:51:18,440,1.0,1.0,440,9,172,688970,82,NO,TOKEN_EXCEEDED,YES
R00000188,T018,EP006,2025-01-02 12:52:41,1109,1.1,1.0,1220,1,4,1635,240,YES,,YES
R00000435,T011,EP003,2025-01-02 12:54:55,465,1.0,1.0,465,10,173,689435,82,NO,TOKEN_EXCEEDED,YES
R00000390,T011,EP002,2025-01-02 12:59:20,1598,1.2,1.0,1918,11,174,691353,82,NO,TOKEN_EXCEEDED,YES
R00000642,T011,EP010,2025-01-02 13:00:56,5000,2.5,1.4,17500,1,175,708853,82,NO,TOKEN_EXCEEDED,YES
R00000602,T011,EP010,2025-01-02 13:01:23,5000,2.5,1.4,17500,2,176,726353,82,NO,TOKEN_EXCEEDED,YES
R00000410,T011,EP002,2025-01-02 13:03:25,464,1.2,1.0,557,3,177,726910,82,NO,TOKEN_EXCEEDED,YES
R00000311,T015,EP004,2025-01-02 13:05:00,4799,2.0,1.4,13437,1,7,33705,240,YES,,YES
R00000312,T015,EP004,2025-01-02 13:07:00,4839,2.0,1.4,13549,2,8,47254,240,YES,,YES
R00000527,T011,EP010,2025-01-02 13:08:39,5000,2.5,1.4,17500,4,178,744410,82,NO,TOKEN_EXCEEDED,YES
R00000437,T011,EP010,2025-01-02 13:14:24,5000,2.5,1.4,17500,5,179,761910,82,NO,TOKEN_EXCEEDED,YES
R00000627,T011,EP010,2025-01-02 13:20:57,5000,2.5,1.4,17500,6,180,779410,82,NO,TOKEN_EXCEEDED,YES
R00000108,T002,EP004,2025-01-02 13:28:51,1012,1.0,1.4,1417,1,7,7591,10,NO,TOKEN_EXCEEDED,YES
R00000594,T011,EP003,2025-01-02 13:29:07,1575,1.0,1.0,1575,7,181,780985,82,NO,TOKEN_EXCEEDED,YES
R00000377,T011,EP010,2025-01-02 13:33:16,5000,2.5,1.4,17500,8,182,798485,82,NO,TOKEN_EXCEEDED,YES
R00000120,T004,EP001,2025-01-02 13:33:51,573,0.5,1.0,286,1,3,1461,10,YES,,NO
R00000191,T019,EP003,2025-01-02 13:37:08,350,1.0,1.0,350,1,4,2228,650,YES,,YES
R00000589,T011,EP001,2025-01-02 13:39:26,1961,1.0,1.0,1961,9,183,800446,82,NO,TOKEN_EXCEEDED,YES
R00000126,T006,EP010,2025-01-02 13:48:08,1033,3.0,1.4,4339,1,2,9665,22,YES,,YES
R00000154,T011,EP001,2025-01-02 13:52:15,291,1.0,1.0,291,10,184,800737,82,NO,TOKEN_EXCEEDED,YES
R00000153,T011,EP009,2025-01-02 13:53:58,347,0.1,1.0,35,11,185,800772,82,NO,TOKEN_EXCEEDED,NO
R00000621,T011,EP001,2025-01-02 14:05:17,689,1.0,1.0,689,1,186,801461,82,NO,TOKEN_EXCEEDED,YES
R00000613,T011,EP001,2025-01-02 14:05:55,1153,1.0,1.0,1153,2,187,802614,82,NO,TOKEN_EXCEEDED,YES
R00000504,T011,EP001,2025-01-02 14:16:47,1487,1.0,1.0,1487,3,188,804101,82,NO,TOKEN_EXCEEDED,YES
R00000119,T004,EP001,2025-01-02 14:16:49,82,0.5,1.0,41,1,4,1502,10,YES,,YES
