attempt_id,job_id,pool_id,attempt_num,queued_at,started_at,ended_at,status,cpu_ms,mem_peak_mb,error_code
A0216,J0115,P09,1,2024-02-17 21:53:14,2024-02-17 21:53:14,2024-02-17 21:53:23,FAIL,11373,41.3,E004
A0217,J0115,P09,2,2024-02-17 21:53:43,2024-02-17 21:53:44,2024-02-17 21:53:51,OK,11068,36.8,
A0218,J0116,P09,1,2024-02-04 05:00:26,2024-02-04 05:00:26,2024-02-04 05:00:37,OK,15754,68.7,
A0219,J0117,P08,1,2024-05-12 18:12:42,2024-05-12 18:12:45,2024-05-12 18:12:49,OK,6642,305.9,
A0220,J0118,P09,1,2024-02-21 03:12:10,2024-02-21 03:12:11,2024-02-21 03:12:22,OK,15732,171.7,
A0221,J0119,P07,1,2024-02-27 03:39:07,2024-02-27 03:39:07,2024-02-27 03:39:07,REJECT,0,0.0,E200
A0222,J0119,P09,2,2024-02-27 03:39:18,2024-02-27 03:39:20,2024-02-27 03:39:39,FAIL,21555,286.8,E004
A0223,J0119,P09,3,2024-02-27 03:39:52,2024-02-27 03:39:54,2024-02-27 03:39:58,OK,6767,329.5,
A0224,J0120,P09,1,2024-02-25 09:58:47,2024-02-25 09:58:47,2024-02-25 09:58:47,REJECT,0,0.0,E200
A0225,J0120,P09,2,2024-02-25 09:59:05,2024-02-25 09:59:06,2024-02-25 09:59:12,OK,10360,171.4,
A0226,J0121,P07,1,2024-02-15 08:45:51,2024-02-15 08:45:51,2024-02-15 08:45:51,REJECT,0,0.0,E200
A0227,J0121,P08,2,2024-02-15 08:45:57,2024-02-15 08:45:59,2024-02-15 08:46:15,FAIL,19528,487.6,E006
A0228,J0121,P08,3,2024-02-15 08:46:19,2024-02-15 08:46:19,2024-02-15 08:46:19,REJECT,0,0.0,E200
A0229,J0121,P09,4,2024-02-15 08:46:25,2024-02-15 08:46:26,2024-02-15 08:46:36,FAIL,11109,56.0,E001
A0230,J0122,P08,1,2024-02-11 12:49:17,2024-02-11 12:49:19,2024-02-11 12:49:26,OK,8990,489.4,
A0231,J0123,P09,1,2024-02-11 04:24:20,2024-02-11 04:24:22,2024-02-11 04:24:33,OK,12142,412.4,
A0232,J0124,P08,1,2024-02-02 16:42:47,2024-02-02 16:42:47,2024-02-02 16:42:47,REJECT,0,0.0,E200
A0233,J0124,P08,2,2024-02-02 16:43:04,2024-02-02 16:43:05,2024-02-02 16:43:14,OK,13455,110.1,
A0234,J0125,P08,1,2024-02-22 21:43:13,2024-02-22 21:43:14,2024-02-22 21:43:26,FAIL,21859,54.1,E002
A0235,J0125,P08,2,2024-02-22 21:43:35,2024-02-22 21:43:37,2024-02-22 21:43:42,OK,4971,225.3,
A0236,J0126,P09,1,2024-02-13 09:35:14,2024-02-13 09:35:16,2024-02-13 09:39:09,TIMEOUT,292768,210.4,E100
A0237,J0126,P07,2,2024-02-13 09:39:18,2024-02-13 09:39:19,2024-02-13 09:39:25,OK,7281,330.6,
A0238,J0127,P07,1,2024-02-29 19:52:28,2024-02-29 19:52:28,2024-02-29 19:52:40,OK,10310,274.9,
A0239,J0128,P08,1,2024-02-09 04:57:01,2024-02-09 04:57:02,2024-02-09 04:58:11,TIMEOUT,75465,241.6,E100
A0240,J0128,P09,2,2024-02-09 04:58:24,2024-02-09 04:58:27,2024-02-09 04:58:30,OK,4527,465.8,
A0241,J0129,P08,1,2024-05-12 23:42:50,2024-05-12 23:42:51,2024-05-12 23:42:55,OK,5254,317.0,
A0242,J0130,P10,1,2024-02-25 03:57:17,2024-02-25 03:57:17,2024-02-25 03:57:28,OK,8803,380.8,
A0243,J0131,P10,1,2024-02-24 09:03:04,2024-02-24 09:03:04,2024-02-24 09:03:09,OK,9394,220.1,
A0244,J0132,P11,1,2024-02-09 21:05:37,2024-02-09 21:05:38,2024-02-09 21:05:40,OK,2782,455.7,
A0245,J0133,P12,1,2024-02-04 11:37:57,2024-02-04 11:37:59,2024-02-04 11:38:07,OK,15190,424.7,
A0246,J0134,P12,1,2024-02-19 13:56:50,2024-02-19 13:56:50,2024-02-19 13:56:50,REJECT,0,0.0,E200
A0247,J0134,P10,2,2024-02-19 13:57:05,2024-02-19 13:57:06,,TIMEOUT,40356,393.8,E100
A0248,J0135,P11,1,2024-02-09 16:10:33,2024-02-09 16:10:35,2024-02-09 16:10:39,OK,8237,396.3,
A0249,J0136,P12,1,2024-02-01 18:35:17,2024-02-01 18:35:17,2024-02-01 18:35:17,REJECT,0,0.0,E200
A0250,J0136,P12,2,2024-02-01 18:35:32,2024-02-01 18:35:32,2024-02-01 18:35:32,REJECT,0,0.0,E200
A0251,J0137,P10,1,2024-02-25 16:33:59,2024-02-25 16:34:00,2024-02-25 16:34:08,OK,,89.1,
A0252,J0138,P03,1,2024-02-15 12:54:01,2024-02-15 12:54:02,2024-02-15 12:54:08,OK,11082,39.7,
A0253,J0139,P02,1,2024-02-03 07:13:58,2024-02-03 07:13:58,2024-02-03 07:17:27,TIMEOUT,208847,371.0,E100
A0254,J0139,P03,2,2024-02-03 07:17:39,2024-02-03 07:17:40,2024-02-03 07:17:47,OK,6426,493.5,
A0255,J0140,P02,1,2024-02-19 11:16:01,2024-02-19 11:16:03,2024-02-19 11:16:16,FAIL,16081,,E001
A0256,J0140,P03,2,2024-02-19 11:16:33,2024-02-19 11:16:36,2024-02-19 11:16:46,OK,20792,333.4,
A0257,J0141,P01,1,2024-02-08 00:48:17,2024-02-08 00:48:18,2024-02-08 00:48:26,OK,9859,383.7,
A0258,J0142,P02,1,2024-02-22 23:58:38,2024-02-22 23:58:40,2024-02-22 23:58:45,OK,4617,211.5,
A0259,J0143,P03,1,2024-02-13 19:53:13,2024-02-13 19:53:14,2024-02-13 19:53:24,OK,8765,165.4,
A0260,J0144,P04,1,2024-02-09 07:25:30,2024-02-09 07:25:31,2024-02-09 07:25:43,OK,17291,123.1,
A0261,J0145,P06,1,2024-02-17 16:11:09,2024-02-17 16:11:10,2024-02-17 16:11:15,OK,5370,347.2,
A0262,J0146,P06,1,2024-02-11 22:38:31,2024-02-11 22:38:32,2024-02-11 22:42:41,TIMEOUT,273816,331.4,E100
A0263,J0146,P05,2,2024-02-11 22:42:55,2024-02-11 22:42:57,2024-02-11 22:43:03,OK,8460,248.3,
A0264,J0147,P05,1,2024-02-06 08:58:38,2024-02-06 08:58:40,2024-02-06 09:00:47,TIMEOUT,83203,485.5,E100
A0265,J0147,P04,2,2024-02-06 09:01:03,2024-02-06 09:01:05,2024-02-06 09:01:14,OK,14561,227.9,
A0266,J0148,P06,1,2024-02-04 06:48:12,2024-02-04 06:48:12,2024-02-04 06:48:12,REJECT,0,0.0,E200
A0267,J0148,P05,2,2024-02-04 06:48:29,2024-02-04 06:48:30,2024-02-04 06:48:44,FAIL,,388.6,E002
A0268,J0148,P06,3,2024-02-04 06:48:49,2024-02-04 06:48:51,2024-02-04 06:49:02,OK,18893,278.1,
A0269,J0149,P07,1,2024-02-20 18:25:09,2024-02-20 18:25:11,2024-02-20 18:25:21,OK,8755,469.5,
A0270,J0150,P09,1,2024-02-01 13:04:44,2024-02-01 13:04:46,2024-02-01 13:04:54,OK,12972,71.0,
A0271,J0151,P09,1,2024-02-10 17:37:22,2024-02-10 17:37:24,2024-02-10 17:37:30,OK,8456,153.6,
A0272,J0152,P07,1,2024-02-08 18:45:42,2024-02-08 18:45:44,2024-02-08 18:45:49,OK,9816,471.3,
A0273,J0153,P07,1,2024-02-18 23:58:22,2024-02-18 23:58:24,2024-02-18 23:58:41,FAIL,24026,288.8,E003
A0274,J0153,P08,2,2024-02-18 23:59:00,2024-02-18 23:59:01,2024-02-18 23:59:11,FAIL,8717,,E005
A0275,J0153,P09,3,2024-02-18 23:59:22,2024-02-18 23:59:25,2024-02-18 23:59:27,OK,2723,475.5,
A0276,J0154,P07,1,2024-02-29 04:48:13,2024-02-29 04:48:15,2024-02-29 04:48:32,FAIL,22769,418.8,E001
A0277,J0154,P09,2,2024-02-29 04:48:40,2024-02-29 04:48:42,2024-02-29 04:48:48,OK,6821,429.7,
A0278,J0155,P08,1,2024-02-23 13:31:59,2024-02-23 13:32:00,2024-02-23 13:32:12,OK,21127,81.2,
A0279,J0156,P07,1,2024-02-19 12:34:44,2024-02-19 12:34:44,2024-02-19 12:34:44,REJECT,0,0.0,E200
A0280,J0156,P09,2,2024-02-19 12:35:01,2024-02-19 12:35:02,2024-02-19 12:35:06,FAIL,3731,252.4,E005
A0281,J0156,P09,3,2024-02-19 12:35:21,2024-02-19 12:35:22,2024-02-19 12:35:38,FAIL,28616,287.3,E004
A0282,J0156,P08,4,2024-02-19 12:35:50,2024-02-19 12:35:51,,TIMEOUT,112495,455.2,E100
A0283,J0157,P08,1,2024-02-15 18:35:34,2024-02-15 18:35:35,2024-02-15 18:35:39,FAIL,5052,144.4,
A0284,J0157,P09,2,2024-02-15 18:35:58,2024-02-15 18:35:59,2024-02-15 18:36:06,OK,9115,366.3,
A0285,J0158,P07,1,2024-02-21 00:41:54,2024-02-21 00:41:57,2024-02-21 00:42:06,OK,12512,479.9,
A0286,J0159,P02,1,2024-02-26 16:06:17,2024-02-26 16:06:18,2024-02-26 16:07:07,TIMEOUT,45826,40.7,E100
A0287,J0159,P01,2,2024-02-26 16:07:24,2024-02-26 16:07:25,2024-02-26 16:07:43,FAIL,19257,375.0,E001
A0288,J0159,P01,3,2024-02-26 16:07:59,2024-02-26 16:08:01,2024-02-26 16:08:12,OK,18500,264.8,
A0289,J0160,P03,1,2024-02-09 06:13:31,2024-02-09 06:13:33,2024-02-09 06:15:09,TIMEOUT,55250,218.2,E100
A0290,J0160,P03,2,2024-02-09 06:15:26,2024-02-09 06:15:27,2024-02-09 06:15:29,OK,3328,119.2,
A0291,J0161,P02,1,2024-02-15 19:56:53,2024-02-15 19:56:55,2024-02-15 19:57:01,OK,12639,300.3,
A0292,J0162,P03,1,2024-02-19 02:53:16,2024-02-19 02:53:17,2024-02-19 02:53:26,OK,14658,372.2,
A0293,J0163,P11,1,2024-02-02 16:08:34,2024-02-02 16:08:35,2024-02-02 16:08:40,FAIL,7103,312.2,E005
A0294,J0163,P11,2,2024-02-02 16:08:51,2024-02-02 16:08:53,2024-02-02 16:08:59,FAIL,8653,329.8,
A0295,J0163,P10,3,2024-02-02 16:09:08,2024-02-02 16:09:10,2024-02-02 16:09:13,OK,3984,322.6,
A0296,J0164,P11,1,2024-02-26 03:41:41,2024-02-26 03:41:42,2024-02-26 03:41:52,FAIL,16636,217.4,E003
A0297,J0164,P10,2,2024-02-26 03:41:58,2024-02-26 03:42:00,2024-02-26 03:42:11,OK,15606,122.2,
A0298,J0165,P12,1,2024-02-02 17:11:52,2024-02-02 17:11:54,2024-02-02 17:12:02,FAIL,12427,158.7,E006
A0299,J0165,P10,2,2024-02-02 17:12:17,2024-02-02 17:12:19,2024-02-02 17:12:22,OK,6387,137.0,
A0300,J0166,P12,1,2024-02-22 09:38:59,2024-02-22 09:39:01,2024-02-22 09:40:12,TIMEOUT,41716,367.5,E100
A0301,J0166,P10,2,2024-02-22 09:40:21,2024-02-22 09:40:22,2024-02-22 09:40:32,FAIL,18774,427.7,E004
A0302,J0166,P11,3,2024-02-22 09:40:36,2024-02-22 09:40:38,,TIMEOUT,73124,385.4,E100
A0303,J0166,P11,4,2024-02-22 09:42:04,2024-02-22 09:42:04,2024-02-22 09:42:04,REJECT,0,0.0,E200
A0304,J0167,P12,1,2024-02-06 15:26:23,2024-02-06 15:26:25,,TIMEOUT,57996,255.6,E100
A0305,J0167,P10,2,2024-02-06 15:28:32,2024-02-06 15:28:35,2024-02-06 15:28:46,OK,19864,226.9,
A0306,J0168,P11,1,2024-02-28 15:52:40,2024-02-28 15:52:42,2024-02-28 15:52:51,OK,10607,95.7,
A0307,J0169,P10,1,2024-02-26 02:02:20,2024-02-26 02:02:21,2024-02-26 02:02:24,OK,4213,383.8,
A0308,J0170,P12,1,2024-02-29 10:24:22,2024-02-29 10:24:24,2024-02-29 10:27:14,TIMEOUT,174232,133.6,E100
A0309,J0170,P11,2,2024-02-29 10:27:34,2024-02-29 10:27:36,2024-02-29 10:27:45,OK,13833,57.6,
A0310,J0171,P09,1,2024-02-27 22:53:24,2024-02-27 22:53:25,2024-02-27 22:53:34,OK,14582,343.3,
A0311,J0172,P09,1,2024-02-19 00:06:04,2024-02-19 00:06:04,2024-02-19 00:06:12,OK,10479,487.4,
A0312,J0173,P09,1,2024-02-18 15:32:57,2024-02-18 15:32:58,2024-02-18 15:33:07,OK,16765,,
A0313,J0174,P07,1,2024-02-20 18:46:08,2024-02-20 18:46:10,2024-02-20 18:46:13,OK,4463,369.3,
A0314,J0175,P08,1,2024-02-26 16:19:58,2024-02-26 16:19:59,2024-02-26 16:20:31,TIMEOUT,45630,126.4,E100
A0315,J0175,P09,2,2024-02-26 16:20:47,2024-02-26 16:20:48,2024-02-26 16:20:55,FAIL,10885,321.5,E001
A0316,J0175,P09,3,2024-02-26 16:21:06,2024-02-26 16:21:06,2024-02-26 16:21:28,TIMEOUT,19943,222.1,E100
A0317,J0175,P07,4,2024-02-26 16:21:46,2024-02-26 16:21:47,2024-02-26 16:21:52,FAIL,4433,142.1,E004
A0318,J0175,P08,5,2024-02-26 16:21:55,2024-02-26 16:21:57,2024-02-26 16:22:09,FAIL,23808,111.7,E004
A0319,J0175,P09,6,2024-02-26 16:22:17,2024-02-26 16:22:18,2024-02-26 16:22:25,FAIL,6642,155.1,E001
A0320,J0176,P09,1,2024-02-13 03:36:31,2024-02-13 03:36:31,2024-02-13 03:36:51,FAIL,22254,79.3,E003
A0321,J0176,P08,2,2024-02-13 03:37:04,2024-02-13 03:37:05,2024-02-13 03:37:13,OK,6869,331.5,
A0322,J0177,P04,1,2024-02-01 22:30:32,2024-02-01 22:30:33,2024-02-01 22:30:38,OK,5803,198.6,
A0323,J0178,P06,1,2024-02-12 07:16:16,2024-02-12 07:16:16,2024-02-12 07:16:24,OK,13110,483.4,
A0324,J0179,P06,1,2024-02-21 17:12:16,2024-02-21 17:12:18,2024-02-21 17:12:32,FAIL,13344,415.9,E004
A0325,J0179,P05,2,2024-02-21 17:12:42,2024-02-21 17:12:42,2024-02-21 17:12:42,REJECT,0,0.0,E200
A0326,J0179,P04,3,2024-02-21 17:12:54,2024-02-21 17:12:55,2024-02-21 17:13:04,OK,9090,297.3,
A0327,J0180,P01,1,2024-03-27 05:37:59,2024-03-27 05:38:00,2024-03-27 05:38:03,OK,6859,169.1,
A0328,J0181,P02,1,2024-03-08 22:08:02,2024-03-08 22:08:04,2024-03-08 22:08:15,OK,13182,382.1,
A0329,J0182,P02,1,2024-03-05 19:24:47,2024-03-05 19:24:48,2024-03-05 19:24:56,OK,13429,331.3,
A0330,J0183,P02,1,2024-03-17 19:51:13,2024-03-17 19:51:14,2024-03-17 19:51:18,OK,4611,145.8,
A0331,J0184,P02,1,2024-03-23 13:07:10,2024-03-23 13:07:11,2024-03-23 13:07:15,FAIL,5371,369.2,E002
A0332,J0184,P03,2,2024-03-23 13:07:31,2024-03-23 13:07:34,2024-03-23 13:07:43,OK,12378,429.2,
A0333,J0185,P03,1,2024-03-21 20:47:55,2024-03-21 20:47:57,2024-03-21 20:48:09,FAIL,16356,56.1,E004
A0334,J0185,P01,2,2024-03-21 20:48:17,2024-03-21 20:48:19,2024-03-21 20:48:23,OK,2996,247.5,
A0335,J0186,P01,1,2024-03-15 11:32:50,2024-03-15 11:32:51,2024-03-15 11:32:57,FAIL,7471,416.7,E006
A0336,J0186,P03,2,2024-03-15 11:33:01,2024-03-15 11:33:03,2024-03-15 11:33:07,OK,7048,303.6,
A0337,J0187,P01,1,2024-03-06 21:49:42,2024-03-06 21:49:43,2024-03-06 21:49:59,FAIL,17496,197.6,E001
A0338,J0187,P02,2,2024-03-06 21:50:08,2024-03-06 21:50:11,2024-03-06 21:50:16,OK,7132,357.7,
A0339,J0188,P02,1,2024-03-06 22:36:54,2024-03-06 22:36:55,2024-03-06 22:37:06,OK,9448,375.7,
A0340,J0189,P03,1,2024-03-23 13:19:01,2024-03-23 13:19:02,2024-03-23 13:19:12,OK,9521,508.0,
A0341,J0190,P03,1,2024-01-29 05:25:20,2024-01-29 05:25:21,2024-01-29 05:25:30,OK,10261,195.9,
A0342,J0191,P03,1,2024-01-29 05:13:54,2024-01-29 05:13:56,2024-01-29 05:14:14,FAIL,32715,395.4,E001
A0343,J0191,P01,2,2024-01-29 05:14:17,2024-01-29 05:14:19,2024-01-29 05:14:25,OK,11206,461.9,
A0344,J0192,P02,1,2024-03-23 15:54:48,2024-03-23 15:54:48,2024-03-23 15:54:54,OK,7132,430.9,
A0345,J0193,P03,1,2024-04-10 06:57:12,2024-04-10 06:57:14,2024-04-10 06:57:22,OK,12483,219.3,
A0346,J0194,P03,1,2024-03-11 15:43:53,2024-03-11 15:43:55,2024-03-11 15:45:40,TIMEOUT,121477,463.2,E100
A0347,J0194,P01,2,2024-03-11 15:45:50,2024-03-11 15:45:50,2024-03-11 15:45:50,REJECT,0,0.0,E200
A0348,J0195,P04,1,2024-03-21 22:36:58,2024-03-21 22:36:59,2024-03-21 22:37:17,FAIL,31724,367.9,E003
A0349,J0195,P06,2,2024-03-21 22:37:31,2024-03-21 22:37:33,2024-03-21 22:37:38,OK,9553,425.0,
A0350,J0196,P06,1,2024-03-09 06:31:02,2024-03-09 06:31:02,2024-03-09 06:31:05,OK,3242,136.8,
A0351,J0197,P04,1,2024-04-02 18:33:46,2024-04-02 18:33:48,2024-04-02 18:33:56,FAIL,11066,418.7,
A0352,J0197,P04,2,2024-04-02 18:34:09,2024-04-02 18:34:11,2024-04-02 18:34:17,OK,12338,138.2,
A0353,J0198,P04,1,2024-03-29 14:53:31,2024-03-29 14:53:32,2024-03-29 14:53:34,OK,3505,68.8,
A0354,J0199,P05,1,2024-03-26 14:04:29,2024-03-26 14:04:31,2024-03-26 14:04:42,OK,17268,375.1,
A0355,J0200,P06,1,2024-03-12 22:14:25,2024-03-12 22:14:27,2024-03-12 22:14:35,OK,9140,359.0,
A0356,J0201,P06,1,2024-03-12 07:23:23,2024-03-12 07:23:23,2024-03-12 07:23:23,REJECT,0,0.0,E200
A0357,J0201,P05,2,2024-03-12 07:23:38,2024-03-12 07:23:40,2024-03-12 07:23:43,OK,3441,119.3,
A0358,J0202,P04,1,2024-03-28 15:03:46,2024-03-28 15:03:46,2024-03-28 15:03:55,FAIL,16484,,E005
A0359,J0202,P06,2,2024-03-28 15:04:12,2024-03-28 15:04:12,2024-03-28 15:04:12,REJECT,0,0.0,E200
A0360,J0202,P06,3,2024-03-28 15:04:26,2024-03-28 15:04:27,2024-03-28 15:04:29,OK,4221,223.1,
A0361,J0203,P08,1,2024-03-13 22:04:35,2024-03-13 22:04:35,2024-03-13 22:04:45,OK,13558,240.2,
A0362,J0204,P08,1,2024-03-26 08:36:13,2024-03-26 08:36:13,2024-03-26 08:36:18,OK,3812,501.6,
A0363,J0205,P08,1,2024-03-04 16:40:23,2024-03-04 16:40:24,2024-03-04 16:40:29,FAIL,6608,329.3,E005
A0364,J0205,P09,2,2024-03-04 16:40:49,2024-03-04 16:40:49,2024-03-04 16:40:49,REJECT,0,0.0,E200
A0365,J0205,P09,3,2024-03-04 16:41:00,2024-03-04 16:41:00,2024-03-04 16:48:21,TIMEOUT,318115,179.5,E100
A0366,J0206,P07,1,2024-03-30 01:45:02,2024-03-30 01:45:04,2024-03-30 01:45:19,FAIL,17816,418.4,E001
A0367,J0206,P08,2,2024-03-30 01:45:33,2024-03-30 01:45:34,2024-03-30 01:45:44,OK,19960,178.2,
A0368,J0207,P08,1,2024-03-30 01:11:58,2024-03-30 01:11:58,2024-03-30 01:12:06,OK,9841,,
A0369,J0208,P08,1,2024-03-06 11:42:53,2024-03-06 11:42:54,2024-03-06 11:43:06,OK,17059,164.1,
A0370,J0209,P08,1,2024-03-31 07:06:53,2024-03-31 07:06:53,2024-03-31 07:06:59,OK,6076,138.5,
A0371,J0210,P08,1,2024-03-04 20:07:06,2024-03-04 20:07:08,2024-03-04 20:07:13,FAIL,4656,393.2,E005
A0372,J0210,P07,2,2024-03-04 20:07:30,2024-03-04 20:07:32,2024-03-04 20:07:41,FAIL,13943,109.5,E002
A0373,J0210,P07,3,2024-03-04 20:07:48,2024-03-04 20:07:49,2024-03-04 20:08:56,TIMEOUT,,205.3,E100
A0374,J0210,P07,4,2024-03-04 20:09:11,2024-03-04 20:09:11,2024-03-04 20:09:11,REJECT,0,0.0,E200
A0375,J0211,P08,1,2024-03-02 12:42:58,2024-03-02 12:42:59,2024-03-02 12:43:02,OK,3005,343.1,
A0376,J0212,P08,1,2024-03-20 08:31:05,2024-03-20 08:31:07,2024-03-20 08:31:14,OK,6603,48.8,
A0377,J0213,P09,1,2024-03-13 09:08:48,2024-03-13 09:08:48,2024-03-13 09:08:54,OK,9461,275.4,
A0378,J0214,P08,1,2024-03-31 20:31:04,2024-03-31 20:31:05,2024-03-31 20:31:12,OK,13910,128.7,
A0379,J0215,P07,1,2024-03-11 23:00:17,2024-03-11 23:00:17,2024-03-11 23:00:34,FAIL,14342,459.2,E004
A0380,J0215,P09,2,2024-03-11 23:00:40,2024-03-11 23:00:43,2024-03-11 23:00:47,OK,8329,81.4,
A0381,J0216,P09,1,2024-03-08 17:42:15,2024-03-08 17:42:17,2024-03-08 17:42:25,OK,12099,359.6,
A0382,J0217,P07,1,2024-03-30 19:37:28,2024-03-30 19:37:30,2024-03-30 19:37:36,OK,8349,345.1,
A0383,J0218,P08,1,2024-03-22 15:44:22,2024-03-22 15:44:24,2024-03-22 15:44:29,OK,7435,477.9,
A0384,J0219,P08,1,2024-03-12 08:09:32,2024-03-12 08:09:33,,TIMEOUT,145398,379.6,E100
A0385,J0219,P08,2,2024-03-12 08:11:49,2024-03-12 08:11:51,2024-03-12 08:11:55,FAIL,7212,,E005
A0386,J0219,P07,3,2024-03-12 08:11:59,2024-03-12 08:11:59,2024-03-12 08:12:07,OK,9685,472.3,
A0387,J0220,P12,1,2024-03-04 12:35:27,2024-03-04 12:35:29,2024-03-04 12:35:46,FAIL,26544,358.2,E002
A0388,J0220,P12,2,2024-03-04 12:35:59,2024-03-04 12:36:00,2024-03-04 12:36:04,OK,6664,336.2,
A0389,J0221,P11,1,2024-04-15 21:58:36,2024-04-15 21:58:37,2024-04-15 21:58:54,FAIL,32130,253.1,E004
A0390,J0221,P10,2,2024-04-15 21:59:08,2024-04-15 21:59:08,2024-04-15 21:59:08,REJECT,0,0.0,E200
A0391,J0222,P10,1,2024-03-11 00:52:33,2024-03-11 00:52:33,,TIMEOUT,40958,461.3,E100
A0392,J0222,P10,2,2024-03-11 00:53:22,2024-03-11 00:53:22,,TIMEOUT,,,E100
A0393,J0222,P12,3,2024-03-11 00:54:21,2024-03-11 00:54:22,2024-03-11 00:54:26,FAIL,7865,500.9,E003
A0394,J0222,P11,4,2024-03-11 00:54:38,2024-03-11 00:54:41,2024-03-11 00:54:52,FAIL,12882,260.7,E001
A0395,J0222,P10,5,2024-03-11 00:55:02,2024-03-11 00:55:02,2024-03-11 00:55:02,REJECT,0,0.0,E200
A0396,J0223,P12,1,2024-03-01 02:59:39,2024-03-01 02:59:40,2024-03-01 02:59:45,OK,8066,236.5,
A0397,J0224,P10,1,2024-03-27 12:42:17,2024-03-27 12:42:18,2024-03-27 12:42:26,OK,14869,126.2,
A0398,J0225,P10,1,2024-03-19 22:42:16,2024-03-19 22:42:16,2024-03-19 22:42:19,OK,,293.3,
A0399,J0226,P11,1,2024-03-26 09:26:16,2024-03-26 09:26:18,2024-03-26 09:26:22,OK,5285,326.5,
A0400,J0227,P12,1,2024-03-08 07:58:57,2024-03-08 07:58:59,2024-03-08 07:59:05,OK,6846,368.8,
A0401,J0228,P01,1,2024-03-19 20:36:50,2024-03-19 20:36:50,2024-03-19 20:36:50,REJECT,0,0.0,E200
A0402,J0228,P02,2,2024-03-19 20:36:58,2024-03-19 20:37:00,2024-03-19 20:37:09,OK,10238,209.6,
A0403,J0229,P03,1,2024-03-13 22:49:30,2024-03-13 22:49:32,2024-03-13 22:49:39,OK,5950,111.7,
A0404,J0230,P02,1,2024-03-28 16:02:21,2024-03-28 16:02:21,2024-03-28 16:02:21,REJECT,0,0.0,E200
A0405,J0230,P01,2,2024-03-28 16:02:31,2024-03-28 16:02:33,2024-03-28 16:02:41,OK,11442,343.2,
A0406,J0231,P02,1,2024-03-23 09:06:22,2024-03-23 09:06:22,2024-03-23 09:06:27,OK,6608,85.4,
A0407,J0232,P01,1,2024-06-20 02:36:05,2024-06-20 02:36:07,2024-06-20 02:36:11,OK,3529,206.5,
A0408,J0233,P03,1,2024-03-08 23:18:37,2024-03-08 23:18:38,2024-03-08 23:18:44,FAIL,5556,453.8,E003
A0409,J0233,P03,2,2024-03-08 23:18:50,2024-03-08 23:18:52,2024-03-08 23:18:59,OK,8565,257.6,
A0410,J0234,P02,1,2024-03-30 21:10:05,2024-03-30 21:10:06,2024-03-30 21:10:10,OK,6376,187.1,
A0411,J0235,P06,1,2024-03-13 05:05:49,2024-03-13 05:05:50,2024-03-13 05:06:02,OK,18252,263.0,
A0412,J0236,P06,1,2024-03-22 06:08:58,2024-03-22 06:08:59,2024-03-22 06:09:08,FAIL,13761,43.6,E004
A0413,J0236,P06,2,2024-03-22 06:09:12,2024-03-22 06:09:14,2024-03-22 06:09:30,FAIL,29790,433.0,E002
A0414,J0236,P06,3,2024-03-22 06:09:40,2024-03-22 06:09:42,2024-03-22 06:13:54,TIMEOUT,265739,428.4,E100
A0415,J0236,P04,4,2024-03-22 06:14:10,2024-03-22 06:14:11,2024-03-22 06:14:29,FAIL,17687,231.3,
A0416,J0237,P06,1,2024-03-09 12:21:36,2024-03-09 12:21:37,2024-03-09 12:21:54,FAIL,25011,211.4,E005
A0417,J0237,P06,2,2024-03-09 12:21:57,2024-03-09 12:21:58,2024-03-09 12:22:04,OK,5056,222.9,
A0418,J0238,P05,1,2024-03-19 02:07:14,2024-03-19 02:07:15,2024-03-19 02:07:18,OK,2320,307.5,
A0419,J0239,P04,1,2024-03-16 08:59:18,2024-03-16 08:59:18,2024-03-16 08:59:21,OK,2494,,
A0420,J0240,P07,1,2024-03-10 10:15:46,2024-03-10 10:15:46,2024-03-10 10:15:46,REJECT,0,0.0,E200
A0421,J0240,P08,2,2024-03-10 10:16:02,2024-03-10 10:16:03,2024-03-10 10:16:09,OK,11090,360.5,
A0422,J0241,P08,1,2024-03-18 12:42:17,2024-03-18 12:42:17,2024-03-18 12:42:20,OK,3053,399.7,
A0423,J0242,P08,1,2024-03-20 00:03:46,2024-03-20 00:03:48,2024-03-20 00:03:56,OK,14668,87.1,
A0424,J0243,P08,1,2024-03-05 19:53:24,2024-03-05 19:53:25,2024-03-05 19:53:36,FAIL,21129,66.9,E002
A0425,J0243,P09,2,2024-03-05 19:53:50,2024-03-05 19:53:53,2024-03-05 19:54:00,FAIL,13111,430.7,E004
A0426,J0243,P07,3,2024-03-05 19:54:12,2024-03-05 19:54:14,2024-03-05 19:54:18,OK,,192.4,
A0427,J0244,P07,1,2024-03-28 00:18:30,2024-03-28 00:18:32,2024-03-28 00:18:43,OK,17252,252.6,
A0428,J0245,P09,1,2024-03-30 22:59:59,2024-03-30 22:59:59,2024-03-30 23:00:03,OK,6961,454.2,
A0429,J0246,P09,1,2024-03-25 08:00:12,2024-03-25 08:00:13,2024-03-25 08:00:19,OK,7598,317.0,
A0430,J0247,P09,1,2024-03-01 20:56:45,2024-03-01 20:56:46,2024-03-01 20:56:55,OK,7821,202.3,
A0431,J0248,P03,1,2024-04-10 07:24:05,2024-04-10 07:24:07,2024-04-10 07:24:10,OK,4398,184.3,
